PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,Third,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,cheap,,S
2,1,First,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,cheap,C85,C
3,1,Third,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,cheap,,S
4,1,First,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,cheap,C123,S
5,0,Third,"Allen, Mr. William Henry",male,35.0,0,0,373450,cheap,,S
6,0,Third,"Moran, Mr. James",male,,0,0,330877,cheap,,Q
7,0,First,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,cheap,E46,S
8,0,Third,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,cheap,,S
9,1,Third,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,cheap,,S
10,1,Second,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,cheap,,C
11,1,Third,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,cheap,G6,S
12,1,First,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,cheap,C103,S
13,0,Third,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,cheap,,S
14,0,Third,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,cheap,,S
15,0,Third,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,cheap,,S
16,1,Second,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,cheap,,S
17,0,Third,"Rice, Master. Eugene",male,2.0,4,1,382652,cheap,,Q
18,1,Second,"Williams, Mr. Charles Eugene",male,,0,0,244373,cheap,,S
19,0,Third,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,cheap,,S
20,1,Third,"Masselmani, Mrs. Fatima",female,,0,0,2649,cheap,,C
21,0,Second,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,cheap,,S
22,1,Second,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,cheap,D56,S
23,1,Third,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,cheap,,Q
24,1,First,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,cheap,A6,S
25,0,Third,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,cheap,,S
26,1,Third,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,cheap,,S
27,0,Third,"Emir, Mr. Farred Chehab",male,,0,0,2631,cheap,,C
28,0,First,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,expensive,C23 C25 C27,S
29,1,Third,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,cheap,,Q
30,0,Third,"Todoroff, Mr. Lalio",male,,0,0,349216,cheap,,S
31,0,First,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,cheap,,C
32,1,First,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,expensive,B78,C
33,1,Third,"Glynn, Miss. Mary Agatha",female,,0,0,335677,cheap,,Q
34,0,Second,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,cheap,,S
35,0,First,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,cheap,,C
36,0,First,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,cheap,,S
37,1,Third,"Mamee, Mr. Hanna",male,,0,0,2677,cheap,,C
38,0,Third,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,cheap,,S
39,0,Third,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,cheap,,S
40,1,Third,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,cheap,,C
41,0,Third,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,cheap,,S
42,0,Second,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,cheap,,S
43,0,Third,"Kraeff, Mr. Theodor",male,,0,0,349253,cheap,,C
44,1,Second,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,cheap,,C
45,1,Third,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,cheap,,Q
